"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.149079935210627,0.00878927981203629,1388.08393725085,1.00160342284127,"[-0.49, 0.81]",""
"2","ssriCIT",0.353891591702396,0.0129097131677301,1148.22967490875,1.00112857048844,"[-0.26, 1.37]",""
"3","ssriESC",-0.0304783386221678,0.00691651564300333,2545.74848374723,1.00002410520034,"[-0.80, 0.72]",""
"4","ssriPAR",0.158252961635574,0.0102244616973413,1993.69187812682,1.00071365854771,"[-0.68, 1.23]",""
"5","ssriSER",0.328039569008689,0.0135698410525988,1359.83887447479,1.00008911384046,"[-0.42, 1.55]",""
"6","freqacute",-0.38751891840596,0.0143100584775383,817.843711103743,1.00057542679089,"[-1.28, 0.19]",""
"7","freqsub",-0.01058345022184,0.00742561595870911,2443.40190509469,1.00031465001201,"[-0.83, 0.81]",""
"8","diseaseind.STRESS",0.170834745372509,0.0079495776470737,2121.75691417459,1.00285539422849,"[-0.49, 1.01]",""
"9","diseaseind.GMO",0.0447314771961314,0.00867155362241606,2333.90978779587,1.00088922867612,"[-0.85, 0.99]",""
"10","diseaseind.OB",-0.335187063021039,0.0133548255973661,2186.62398654788,0.999588789135231,"[-1.87, 0.61]",""
"11","specieshuman.testFPS",0.000767256683482,0.0108837025230855,1818.94385904833,1.00038064901963,"[-1.01, 1.04]",""
"12","speciesmouse",0.44928780387697,0.0128027045214744,1069.65884477094,1.00059429457821,"[-0.17, 1.35]",""
"13","testAA",-0.189895269349699,0.0104623672163112,1964.79518213159,1.00154072781636,"[-1.32, 0.60]",""
"14","testAC",0.0544310912748348,0.00910892731328503,3126.41726900685,1.00021175487968,"[-0.98, 1.26]",""
"15","testIA",-0.262735748308164,0.0113056054186733,2013.45476047167,0.999956046201969,"[-1.52, 0.60]",""
"16","testPA",0.231546536367587,0.0105103262475136,1756.82372388925,1.00092798548958,"[-0.46, 1.32]",""
"17","testPMDAT",-0.181433996343626,0.0109656991712229,2193.38039961635,1.0006906254035,"[-1.42, 0.71]",""
"18","testSTA",-0.0129625083870798,0.0097414658514463,2713.04028690502,1.00030022493109,"[-1.17, 1.06]",""
"19","tau2",1.16850690596373,0.0127576084500905,963.341891980258,1.00530229570098,"[0.57, 2.10]","*"
