"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","ssriESC",0.00657091955368583,0.00776804869748378,1392.77823719024,1.00023975626839,"[-0.71, 0.68]",""
"2","ssriFLX",-0.0330686484748261,0.00629919849764163,1341.50865025194,1.00038974515684,"[-0.59, 0.46]",""
"3","ssriPAR",-0.0396534398285452,0.00834627360167239,1303.9907984016,1.00104738676338,"[-0.83, 0.58]",""
"4","ssriSER",0.223653493904907,0.0120198123040124,1481.55551731334,0.999589098598854,"[-0.40, 1.49]",""
"5","freqchronic",0.246092398264933,0.0135403301152841,637.924858995494,1.0021617459912,"[-0.16, 1.09]",""
"6","freqsub",0.0801350624408837,0.00958700450655864,1525.90941740191,1.00145412531072,"[-0.59, 1.08]",""
"7","diseaseind.STRESS",-0.113714187427389,0.0115086224113809,807.481136951047,1.00280409806524,"[-1.03, 0.38]",""
"8","diseaseind.GMO",0.14814557237393,0.0113185557981923,1634.84510432792,0.999699039769387,"[-0.57, 1.45]",""
"9","diseaseind.none",-0.0316476886708161,0.00836600398343183,730.8736578209,1.00282673546467,"[-0.61, 0.40]",""
"10","specieshuman",-0.00130457386544243,0.00943679879898911,931.716307777643,1.00279081799168,"[-0.69, 0.63]",""
"11","speciesmouse",0.120186433063341,0.00916751883020655,1222.04881592486,1.00265866469295,"[-0.38, 0.98]",""
"12","speciesrat",-0.101427702127225,0.00780293239825028,1098.69948333429,1.00108996245069,"[-0.78, 0.35]",""
"13","testCF",-0.0195445594733812,0.00539039443477101,1571.55207117353,1.00155353816926,"[-0.51, 0.44]",""
"14","testFPS",-0.0279273027875191,0.00882973326267384,1332.98866294127,1.00208863682082,"[-0.81, 0.65]",""
"15","tau2",1.65875852568545,0.0198043278106319,988.042269673765,1.00162003627896,"[0.74, 3.11]","*"
