"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.897876713967699,0.0249079738960864,710.167647805539,1.00348832514659,"[-0.27, 2.27]",""
"2","ssriESC",-0.168546152296308,0.00699617723863961,484.431338593168,1.00601196711549,"[-0.50, 0.02]",""
"3","ssriFLV",0.103721022879821,0.00579504756283795,519.789401026061,1.01738954009754,"[-0.04, 0.42]",""
"4","ssriFLX",-0.0147839842735738,0.00174644137408292,1575.9577166104,1.00078644507755,"[-0.20, 0.11]",""
"5","ssriPAR",-0.00400485602518814,0.00164025310653898,1679.7218606474,1.0018423351379,"[-0.16, 0.15]",""
"6","ssriSER",0.0181395505686484,0.00199195984832277,1285.74357024744,1.00305079185852,"[-0.10, 0.22]",""
"7","freqchronic150x.testPA",-0.126764866547963,0.00560767427192581,793.568729566813,1.00518803900579,"[-0.51, 0.04]",""
"8","freqchronic10x",0.0100938543930702,0.00130223038146312,1994.3128698676,1.00052078682947,"[-0.10, 0.17]",""
"9","freqchronic12x",-0.00821717047921279,0.00123271870032537,2093.39244841047,1.00045749351349,"[-0.15, 0.10]",""
"10","freqchronic14x",0.134353670564058,0.00516184329851649,827.607837775328,1.00278985321782,"[-0.03, 0.48]",""
"11","freqchronic15x",0.0487152852696382,0.00315700703994523,924.971178212969,1.0029032769093,"[-0.06, 0.33]",""
"12","freqchronic16x",0.0266958175776927,0.00182406957394234,1443.0633063145,1.00058257691536,"[-0.07, 0.21]",""
"13","freqchronic18x",-0.0197150040488757,0.00194097078520083,1402.96786150182,1.00376062545185,"[-0.23, 0.09]",""
"14","freqchronic20x",0.00222286861717498,0.00114294039018977,2134.40911934864,1.00148217711277,"[-0.12, 0.12]",""
"15","freqchronic21x",-0.0174247650993486,0.00163330396258766,1525.02357455302,1.00261214034915,"[-0.19, 0.09]",""
"16","freqchronic24x",0.0128011040154672,0.00137383663532303,1891.73231975151,1.00052362244757,"[-0.09, 0.18]",""
"17","freqchronic25x",-0.0178485269012742,0.0016360682586203,1922.5586706661,0.999809230084236,"[-0.22, 0.10]",""
"18","freqchronic26x",0.0236644815264196,0.00172025397395848,1457.91096901275,0.999946807203678,"[-0.08, 0.21]",""
"19","freqchronic28x",0.0149154581445563,0.00120138493550683,1956.35910120317,1.00131752406979,"[-0.08, 0.15]",""
"20","freqchronic30x",0.055883918323296,0.00283238077366678,1122.69081769631,1.00144837744969,"[-0.06, 0.31]",""
"21","freqchronic31x",-0.00201718168937461,0.00106259539795829,2122.57664737424,1.0008026729805,"[-0.12, 0.10]",""
"22","freqchronic7x",0.027040423850223,0.00166516845796983,1778.03507572634,0.999555194179096,"[-0.08, 0.22]",""
"23","freqchronic8x",0.0273715053335766,0.00210732524660906,1134.71557836109,1.00084416376019,"[-0.08, 0.21]",""
"24","freqsub3x24h",-0.0219663262490447,0.0019113065328791,1242.84084575787,1.00064758469314,"[-0.21, 0.08]",""
"25","freqsub2x",-0.0422443931921988,0.00247472531045697,1165.44692394616,1.00086494652042,"[-0.28, 0.06]",""
"26","freqsub4x",0.00605485257504245,0.00156339562454953,1533.82087815796,1.00046510692908,"[-0.12, 0.16]",""
"27","freqsub5x",0.0276837311985751,0.00198594950842808,1164.53568755108,1.00680445389053,"[-0.07, 0.22]",""
"28","freqsub6x",-0.00565808283800242,0.00120704386309702,2033.60074660629,1.00146569049634,"[-0.14, 0.11]",""
"29","diseaseCSD",0.00210973808960357,0.001312848810366,1998.99085850346,1.00019123191392,"[-0.12, 0.15]",""
"30","diseaseCUS",0.0451620615658026,0.00217309673256767,1855.76000578072,1.00189336316411,"[-0.07, 0.31]",""
"31","diseaseMeCP2.308",0.047214584389655,0.00221995541201828,1808.65675185337,1.0008256199774,"[-0.06, 0.31]",""
"32","diseasenone",-0.188055851523408,0.00831262061317087,632.864967275764,1.00172481768789,"[-0.67, 0.04]",""
"33","diseasePdcd2",0.015460922431565,0.00141654487128835,2023.85591948333,1.00062774538704,"[-0.09, 0.18]",""
"34","diseaseSPS",0.0237007758900032,0.00249851637822246,1415.30667377554,1.00056748371985,"[-0.12, 0.28]",""
"35","diseaseTDS",0.117533802534125,0.00529798957868298,834.641927155712,1.00166845017996,"[-0.05, 0.50]",""
"36","diseaseVS",-0.0617591608859828,0.00393369593516878,848.987957246473,1.00061881598917,"[-0.39, 0.06]",""
"37","specieshuman",-0.0157282910953628,0.00155117024022993,1691.98239849806,1.0011719989901,"[-0.19, 0.10]",""
"38","speciesmouse",0.0152181861248811,0.00187880212605565,1541.45000940905,1.00460980478747,"[-0.11, 0.21]",""
"39","speciesrat",-0.00445233363822517,0.00154966866990239,1843.97174024547,1.00429021416136,"[-0.16, 0.13]",""
"40","specieszebrafish.testCPA",-0.0146462740006226,0.00150495177429693,1702.18455993475,1.00086006530613,"[-0.18, 0.09]",""
"41","testCODA",0.00650680662063901,0.00128006704751074,2055.70070811612,1.00192913985911,"[-0.10, 0.16]",""
"42","testCER",-0.0182641424820349,0.00173571552880305,1486.99797374418,1.00123487229304,"[-0.20, 0.09]",""
"43","testCF",0.161890557352918,0.00739742833743897,545.665865586673,1.0120486843256,"[-0.04, 0.55]",""
"44","testFPS",-0.0334258213343179,0.00241840694670228,1172.15644633466,1.00052061897359,"[-0.26, 0.09]",""
"45","testIA",-0.0185043865614295,0.00144028651418743,1683.00387084855,1.00325609666616,"[-0.18, 0.08]",""
"46","testTWAA",0.0213332590386468,0.00194012788518215,1586.11295593138,1.00035974878634,"[-0.10, 0.24]",""
"47","tau2",1.5818428365465,0.0106186937865436,890.77001064201,1.00188539759612,"[1.05, 2.27]","*"
