"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",-0.450283654564273,0.0155114553673496,1234.73850601948,1.00201539686143,"[-1.59, 0.56]",""
"2","ssriCIT",0.495266958817653,0.012456111519442,1970.7355495063,1.00105753261322,"[-0.48, 1.65]",""
"3","ssriESC.specieshuman",-0.0660262866046018,0.0125225650127223,2414.35733019301,1.00048437367233,"[-1.34, 1.24]",""
"4","ssriFLX",0.469827445905707,0.0129769504311918,2241.30810176195,1.00032572415653,"[-0.63, 1.75]",""
"5","ssriSER.diseaseSTRESS",-0.995086372976581,0.0253537242072091,1576.08020442986,1.00100139644881,"[-3.16, 0.55]",""
"6","freqacute",-1.13499736871816,0.0192791969759389,1253.00835935371,1.00153068423823,"[-2.43, 0.08]",""
"7","freqsub",-0.294620630688835,0.0142949220862959,1907.61615621439,0.999895063632835,"[-1.69, 0.86]",""
"8","diseaseGMO",-1.06759212615527,0.0203359673317841,1321.72787715702,1.00155112346363,"[-2.50, 0.21]",""
"9","speciesrat",0.0672120733769632,0.0104423313687174,2356.56860055091,0.999915653880299,"[-0.98, 1.17]",""
"10","testAA",-0.177272886931296,0.0109308115235562,3107.87920713375,1.00034079233533,"[-1.51, 1.03]",""
"11","tau2",1.07719943147006,0.0271676483829348,1027.98971384976,1.00257894304936,"[0.09, 3.29]","*"
