"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",1.07751109863982,0.0213193379964494,3079.24111148317,1.00029518541298,"[-1.22, 3.83]",""
"2","freqchronic16x",-0.103813839982354,0.00458696022555954,2557.5694531673,0.999679440896474,"[-0.71, 0.25]",""
"3","freqchronic22x",0.0635196539418823,0.00478470693199192,2405.17027053023,1.00438049418965,"[-0.38, 0.65]",""
"4","freqchronic23x",0.0355572770414806,0.00476622182721578,3099.95101796989,1.00200305925292,"[-0.54, 0.69]",""
"5","freqchronic29x",-0.0216305927045503,0.00405629729725015,3432.98736534641,0.999937064397031,"[-0.63, 0.47]",""
"6","freqchronic44x",0.00106753514196553,0.00485559174499137,3044.00334347824,1.00175149748101,"[-0.62, 0.59]",""
"7","diseaseMS",0.136639068279023,0.00611111325983187,3025.60308001385,1.00089124107027,"[-0.41, 0.99]",""
"8","diseasenone",-0.116424684020486,0.00631652083416605,2751.4738421675,1.0004977343464,"[-0.95, 0.49]",""
"9","speciesmouse",0.00622795354957224,0.00553981470996354,3195.01142280338,0.999603880018761,"[-0.73, 0.71]",""
"10","speciesrat",-0.01076468324593,0.00552247886829276,3289.61624947852,0.999757953018165,"[-0.72, 0.69]",""
"11","tau2",0.936863731323541,0.0333472384318407,1250.28913970056,1.0020500538725,"[0.01, 3.69]","*"
