"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",-0.262208389046023,0.0158592174216604,2091.40965915426,1.002055804231,"[-1.78, 1.15]",""
"2","ssriESC.freqchronic14x.specieshuman",-0.0833002730366322,0.00544238225780318,2399.61017650224,1.00029083466559,"[-0.74, 0.41]",""
"3","ssriFLX",0.103030363156842,0.00576963439156317,2551.12538358513,1.0009076956288,"[-0.42, 0.79]",""
"4","ssriPAR.freqsub3x",-0.020761608134993,0.00417255793339397,3160.20439902704,1.00186895319807,"[-0.57, 0.47]",""
"5","freqchronic16x",0.149813947793909,0.00693776105546755,1693.45091814976,1.00325600615433,"[-0.27, 0.85]",""
"6","freqchronic24x",-0.150761954920883,0.00877075552864245,960.360067494813,1.00706557501068,"[-0.80, 0.28]",""
"7","freqchronic25x",0.0454510054743727,0.00584196068942627,1433.87155566202,1.00402329902548,"[-0.39, 0.56]",""
"8","speciesmouse",0.0561863438935216,0.00804176704782351,1414.05857760527,1.00055017183511,"[-0.50, 0.82]",""
"9","speciesrat",0.0112283238282023,0.00467660206812189,3048.90730082386,1.00090682439445,"[-0.55, 0.62]",""
"10","tau2",0.616389591564833,0.0305765348542288,962.218887842703,1.00151092301544,"[0.00, 3.25]","*"
