"","Parameter","Estimate","se","p","CI","VIF"
"1","intrcpt",-0.174590109019247,3.21126745529372,0.956641993278185,"[-6.47, 6.12]",NA
"2","ssriESC",-0.564694127820351,1.27252927946675,0.657218079840892,"[-3.06, 1.93]",3.34677755325761
"3","ssriFLX",-0.892816529274594,1.32196775068991,0.499441119625458,"[-3.48, 1.70]",7.8239535753351
"4","ssriPAR",-0.618922195363315,1.43513132962968,0.666275553143624,"[-3.43, 2.19]",1.83386498848166
"5","ssriSER",0.802487727675302,1.55353320496119,0.605465764687806,"[-2.24, 3.85]",3.14109813895635
"6","freqchronic12x",2.33222092075155,2.2912283771855,0.308729722529908,"[-2.16, 6.82]",2.32524983083835
"7","freqchronic14x",3.86992937588793,2.28020129100913,0.0896611971001198,"[-0.60, 8.34]",3.99800566972596
"8","freqchronic15x",1.41665762051547,1.32761554357065,0.285940600857391,"[-1.19, 4.02]",2.23671992542051
"9","freqchronic19x;testPMDAT",0.254050493548292,2.59439030313072,0.921993432756112,"[-4.83, 5.34]",3.0493476806731
"10","freqchronic21x",0.582207023054174,2.10576537733031,0.782177591206736,"[-3.55, 4.71]",7.7896957820083
"11","freqchronic23x",0.487779550885961,2.11858456839207,0.817906513512818,"[-3.66, 4.64]",3.9644167101812
"12","freqchronic29x",0.458340519567338,1.65763762960804,0.782162338548994,"[-2.79, 3.71]",2.44107655362926
"13","freqchronic30x;testIA",1.09671223009085,2.70199902882887,0.684824012217468,"[-4.20, 6.39]",5.94669394015192
"14","freqsub2x;testAC",1.03343599639489,3.23055669702052,0.749048617782413,"[-5.30, 7.37]",4.72092047617334
"15","freqsub3x",0.861172820032668,2.29509802092438,0.707494867504063,"[-3.64, 5.36]",4.83191474631557
"16","freqsub5x",0.981323720709446,2.37786927106706,0.679833490035308,"[-3.68, 5.64]",4.99386387941592
"17","freqsub6x",-0.118759344178715,2.58752398842104,0.963392420570546,"[-5.19, 4.95]",3.08288777593709
"18","diseaseCSD",-0.738297797666817,2.48185854384226,0.766101761045388,"[-5.60, 4.13]",2.96464620536731
"19","diseaseMS",1.93931085216637,2.51014564551982,0.439765671152785,"[-2.98, 6.86]",2.8402014716805
"20","diseasenone",0.00961093492426043,1.42475038711932,0.99461775304443,"[-2.78, 2.80]",6.84871508500418
"21","diseaseOB",-2.32250625422122,2.6592330569801,0.382459003284325,"[-7.53, 2.89]",2.88764888348101
"22","diseaseSPS",-2.03451713798557,2.2485349366645,0.365561283019774,"[-6.44, 2.37]",9.44023815098322
"23","specieshuman;testFPS",0.311079201049592,3.20536033169492,0.922686940055113,"[-5.97, 6.59]",5.01517261515031
"24","speciesmouse",1.14242751910716,1.56500637610437,0.465400783139433,"[-1.92, 4.21]",9.61113263511754
"25","testCF",0.128464940458984,2.35480485625894,0.95649347680759,"[-4.49, 4.74]",22.1105892069815
"26","testPA",1.31968155982705,3.0194860098619,0.662071436796958,"[-4.60, 7.24]",14.4475462804334
"27","Tau2",1.88060227970093,0.842790755043217,5.53728823272509e-16,"[0.23, 3.53]",NA
