"","Parameter","Estimate","se","p","CI","VIF"
"1","intrcpt",0.216879306157287,0.418291039309079,0.604117127115095,"[-0.60, 1.04]",NA
"2","ssriCIT",-0.0392367421259632,0.492535017017362,0.93650540861977,"[-1.00, 0.93]",1.88133245231642
"3","ssriESC",0.205354142823585,0.684239172164501,0.764085309309858,"[-1.14, 1.55]",2.527133200107
"4","ssriPAR",0.561684286885146,0.71201682432279,0.430191624340262,"[-0.83, 1.96]",2.65779388394695
"5","ssriSER",-4.05758160054827,0.974978372100285,3.15867144712542e-05,"[-5.97, -2.15]",1.50733879923536
"6","freqacute",0.811813453491185,0.376863696942945,0.0312299664051741,"[0.07, 1.55]",1.57097014996758
"7","freqsub",-1.06503172487465,1.06235878867793,0.316094424062103,"[-3.15, 1.02]",2.76301764459653
"8","diseaseGMO",-3.50677522205383,1.24530887909054,0.00486274389285378,"[-5.95, -1.07]",1.61035489946812
"9","diseasenone",-0.581776476547458,0.449554384917647,0.195624622688204,"[-1.46, 0.30]",1.56268762773856
"10","speciesgoldfish",0.769367946593283,1.16594849304644,0.509340827391655,"[-1.52, 3.05]",1.78039944697177
"11","specieshuman",0.0133992737807898,0.721930357786769,0.985191840499947,"[-1.40, 1.43]",1.98556710330045
"12","speciesmouse",0.41936102774975,0.63150801234732,0.506650068499764,"[-0.82, 1.66]",2.7744230625804
"13","testAA",-0.544341008579403,0.733593636066978,0.458075334744029,"[-1.98, 0.89]",2.14552451205825
"14","testFPS",-0.312482947477264,0.775216110981594,0.686880986986786,"[-1.83, 1.21]",2.14300083694394
"15","Tau2",0.606714680191655,0.248401772157802,1.83425027730916e-07,"[0.12, 1.09]",NA
