"","Parameter","Estimate","se","p","CI","VIF"
"1","intrcpt",0.660998583318689,0.781228628887847,0.397496217872871,"[-0.87, 2.19]",NA
"2","ssriCIT",0.164409294907172,0.862326289910674,0.848793646880603,"[-1.53, 1.85]",2.64006586758186
"3","ssriESC;specieshuman",-1.15928062831226,1.1546598474493,0.315377719643991,"[-3.42, 1.10]",1.7124600633951
"4","ssriPAR",-0.153959314893493,0.933745526326193,0.869035608582634,"[-1.98, 1.68]",4.21423913924353
"5","ssriSER",-3.71235634592492,1.35744583413213,0.00624163054974455,"[-6.37, -1.05]",1.43257485208664
"6","freqacute",-1.98108539627545,0.720525553819949,0.0059686165291157,"[-3.39, -0.57]",2.14696671309943
"7","freqsub",-1.3094700943583,1.31578665979182,0.319639293559034,"[-3.89, 1.27]",5.02608282032283
"8","diseaseGMO",-2.07954268092166,0.79142776122446,0.00859936846212726,"[-3.63, -0.53]",1.53139155356732
"9","speciesmouse",-0.0882410658193679,0.888224584785516,0.920863997695234,"[-1.83, 1.65]",3.81824361969229
"10","testAA",-0.223797885406465,1.1386430520989,0.844181355488605,"[-2.46, 2.01]",2.75067123853408
"11","Tau2",0.614098729315218,0.472387934429728,0.00306803322728594,"[-0.31, 1.54]",NA
