"Parameter","Estimate","p","Process","CI"
"Overall ES",-0.0104581539618344,0.962257684504006,"Acq learn to cue","[-0.44, 0.42]"
"Tau2",1.62854428131133,1.70102254748612e-22,"Acq learn to cue","[1.28, 4.44]"
"Overall ES",0.242504567028083,0.229645058753243,"Acq learn to ctx","[-0.15, 0.64]"
"Tau2",1.3243728484486,1.44817079330544e-25,"Acq learn to ctx","[0.83, 2.59]"
"Overall ES",0.133182896569567,0.380342082439713,"Acq retr to cue","[-0.16, 0.43]"
"Tau2",0.706846562298787,2.18862604437991e-14,"Acq retr to cue","[0.44, 1.53]"
"Overall ES",0.837944977990255,2.67564501102681e-09,"Acq retr to ctx","[0.56, 1.11]"
"Tau2",1.98954382259929,5.25784672185727e-87,"Acq retr to ctx","[1.65, 3.16]"
"Overall ES",0.987404921536115,0.00906875066708456,"Ext learn to cue","[0.25, 1.73]"
"Tau2",2.15379698961531,8.86039667885209e-20,"Ext learn to cue","[1.09, 5.74]"
"Overall ES",0.441456067535564,0.276733794158546,"Ext learn to ctx","[-0.35, 1.24]"
"Tau2",1.24282108929818,4.26147018507526e-08,"Ext learn to ctx","[0.44, 5.77]"
"Overall ES",-0.0671235820707666,0.801491764070732,"Ext retr to cue","[-0.59, 0.46]"
"Tau2",0.307755962774273,0.00970842469179999,"Ext retr to cue","[0.03, 2.96]"
"Overall ES",0.808774135203446,0.00805960563904137,"Ext retr to ctx","[0.21, 1.41]"
"Tau2",0.545200875929137,0.0030604434983575,"Ext retr to ctx","[0.09, 2.99]"
