"Parameter","Estimate","p","Process","CI"
"Overall ES",-0.0104581950667095,0.962257497511885,"Acq learn to cue","[-0.44, 0.42]"
"V within",1.32419576317674e-09,1,"Acq learn to cue","[0.00, 0.45]"
"V between",1.62854039745556,7.00715966166429e-14,"Acq learn to cue","[0.82, 3.18]"
"Overall ES",0.24312746047277,0.287527987137191,"Acq learn to ctx","[-0.20, 0.69]"
"V within",0.425283801096592,0.373414189555966,"Acq learn to ctx","[0.00, 1.74]"
"V between",0.923647349554625,1.01192036057678e-06,"Acq learn to ctx","[0.33, 2.22]"
"Overall ES",0.141625831519652,0.443739143659783,"Acq retr to cue","[-0.22, 0.50]"
"V within",0.431479565039397,0.118451683599681,"Acq retr to cue","[0.00, 1.31]"
"V between",0.321402423238516,0.00637672808106325,"Acq retr to cue","[0.06, 1.04]"
"Overall ES",1.01979962151361,3.65747948082826e-09,"Acq retr to ctx","[0.68, 1.36]"
"V within",1.18160179779511,1.63179307633896e-06,"Acq retr to ctx","[0.62, 2.05]"
"V between",0.737152340249588,5.60490916268107e-14,"Acq retr to ctx","[0.41, 1.27]"
"Overall ES",0.832335731456199,0.0520992338892774,"Ext learn to cue","[-0.01, 1.67]"
"V within",0.444488360770327,0.452719200016457,"Ext learn to cue","[0.00, 3.86]"
"V between",1.71255934112044,4.33634067938917e-10,"Ext learn to cue","[0.62, 4.81]"
"Overall ES",0.4414560766798,0.276733849842246,"Ext learn to ctx","[-0.35, 1.24]"
"V within",1.16775166211688e-08,1,"Ext learn to ctx","[0.00, 8.20]"
"V between",1.24282145994771,4.23474650691999e-05,"Ext learn to ctx","[0.22, 4.74]"
"Overall ES",-0.104510554421883,0.737892451669391,"Ext retr to cue","[-0.72, 0.51]"
"V within",0.39668919663471,0.308839171119055,"Ext retr to cue","[0.00, 2.95]"
"V between",1.90629980777249e-10,1,"Ext retr to cue","[0.00, 1.54]"
"Overall ES",0.808774126065974,0.00805960326564521,"Ext retr to ctx","[0.21, 1.41]"
"V within",4.51739241023098e-10,1,"Ext retr to ctx","[0.00, 1.60]"
"V between",0.545200794275835,0.0191072466549053,"Ext retr to ctx","[0.05, 2.48]"
